Sum of Final OD(OD 600),Batch id 
35.15,20221028_0906_BR-1210
32.9,20221115_0832_BR-1210
33.5,20221117_0815_BR-1210
38.55999755859375,20230111_0653_BR-1210
29,20230307_0737_BR-1210
35.89999771118164,20230504_0839_BR-1210
29.75,20230518_0856_BR-1210
28.1,20230524_0902_BR-1210
29.6,20230615_0848_BR-1210
30.25,20230824_0925_BR-1210
28.280000686645508,20231023_1358_BR-1210
32.25,20240111_0851_BR-1210
31.56,20240306_0847_BR-1210
32.31999969482422,20240502_0858_BR-1210
37.099998474121094,20240516_0838_BR-1210
34,GC_240625_BR1210
32.599998474121094,GP_240702_BR1210
38.25,GC_240730_BR1210
32.04999923706055,GP_241009_BR1210
37.14999771118164,GP_241022_BR1210
