Sum of Initial  Glucose(g/L),Batch id 
7.48,20221028_0906_BR-1210
7.32,20221115_0832_BR-1210
7.88,20221117_0815_BR-1210
7.69,20230111_0653_BR-1210
7.35,20230307_0737_BR-1210
7.31,20230504_0839_BR-1210
7.25,20230518_0856_BR-1210
7.3,20230524_0902_BR-1210
7.08,20230615_0848_BR-1210
7.54,20230824_0925_BR-1210
7.39,20231023_1358_BR-1210
8,20240111_0851_BR-1210
7.9,20240306_0847_BR-1210
8.27,20240502_0858_BR-1210
9.04,20240516_0838_BR-1210
8,GC_240625_BR1210
8.9,GP_240702_BR1210
8,GC_240730_BR1210
0,GP_241009_BR1210
7.199999809265137,GP_241022_BR1210
