Time (hours),Batch,OD
0,GP_241009_BR1210,0.250999987125397
0.9888888888526708,GP_241009_BR1210,0.25099998712539673
1.925069166580215,GP_241009_BR1210,0.5440000295639038
3.0361805554130115,GP_241009_BR1210,1.4500000476837158
4.180694444454275,GP_241009_BR1210,3.7200000286102295
4.950138611078728,GP_241009_BR1210,6.840000152587891
5.407083333295304,GP_241009_BR1210,9.479999542236328
5.843194444372784,GP_241009_BR1210,9.880000114440918
21.98527749994537,GP_241009_BR1210,32.04999923706055
22.06722194433678,GP_241009_BR1210,32.04999923706055
