Batch id ,Growth Rate (1/h)
20221028_0906_BR-1210,0.831
20221115_0832_BR-1210,0.47
20221117_0815_BR-1210,0.568
20230111_0653_BR-1210,0.4879
20230307_0737_BR-1210,0.6748
20230504_0839_BR-1210,0.6454
20230518_0856_BR-1210,0.4398
20230524_0902_BR-1210,0.6369
20230615_0848_BR-1210,0.708
20230824_0925_BR-1210,0.6981
20231023_1358_BR-1210,0.6276
20240111_0851_BR-1210,0.6816
20240306_0847_BR-1210,0.6484
20240502_0858_BR-1210,0.7181
20240516_0838_BR-1210,0.7835
GC_240625_BR1210,0.7042514196301926
GP_240702_BR1210,0.7323227333340331
GC_240730_BR1210,0.730772967160855
GP_241009_BR1210,0.795706232655506
GP_241022_BR1210,0.7487667118567501
